id,projectId,question,answer,sortOrder
010027c5-1dd9-4203-a15b-689aedaacb0c,7a117c0f-16eb-4536-a0a6-028271a06f3b,Who is the developer of Hero Homes The Palatial?,"Hero Homes The Palatial is developed by Hero Realty, part of the reputable Hero Group focused on sustainable and luxury projects.",6
0159f341-7243-4c25-816d-3f6c99b37143,0d428cdd-2dcd-46ea-85ec-98471e318483,What makes Aditya Birla Pravaah unique?,"Pravaah features expansive open spaces, high-rise luxury towers, premium amenities, and a prime location in Sector 71, Gurgaon.",0
0198c462-dde8-480d-b8c3-4560b1617a62,a44c5240-3c6f-4c6a-96ee-8ac62af3511e,What types of apartments are available at Puri Diplomatic Residency?,"We offer premium 3 BHK, 4 BHK, and penthouse residences with spacious layouts and luxury specifications.",2
02264a6a-3c4a-4507-83fb-07998dadf2b6,7a117c0f-16eb-4536-a0a6-028271a06f3b,What is the starting price for homes at Hero Homes The Palatial?,"The starting price for 3.5 BHK residences is ₹4.96 Crore, and for 4.5 BHK residences up to ₹6.05 Crore.",7
02281b3d-4e14-497c-90dd-066e0b6896dd,491d8e64-e144-40cd-bf4b-0273fc49acf7,What is the expected possession date for M3M Altitude?,December 2028 (as per latest updates).,2
048bdaf2-2db2-43a8-9742-c439e4fd01af,b78f7b94-2629-4566-b8a8-a14b578d3434,What unit types and sizes are available at AIPL Lake City?,"The project offers spacious 3 BHK (2200-2400 sq.ft.), 3.5 BHK (2400 sq.ft.), and 4 BHK premium residences (2800-3000 sq.ft.).",1
0682b64a-3989-4faf-b299-be4816c39dac,0d428cdd-2dcd-46ea-85ec-98471e318483,What is the land area of Aditya Birla Pravaah?,The project is spread over approximately 5.5 acres.,0
06f40fa7-dd55-4c51-9239-969afcfa0386,a3af1f05-e6bb-4a25-a7be-1f9115867304,When can I take possession of my property in Elan Imperial?,Possession date is subject to construction status and developer updates.,3
07503f79-3f5b-4de0-9cec-f2678f3b76d5,049251cb-0089-4e71-8624-88c23074f082,Who is the developer of Sobha Aranya?,"Sobha Aranya is developed by Sobha Limited, one of India's most awarded and experienced real estate companies.",3
0755d84f-47d2-4749-9008-eef2322fbaeb,c05bb44a-4d96-4c65-9703-923dd67a4b91,What is the current construction status?,The project is under construction.,4
07be5c98-ed77-45c7-84c9-d49add29e0e5,9301a8cc-a2ab-4828-98a8-455229bd4beb,Where is Elan Empire located?,"Elan Empire is located in Sector 66, Golf Course Extension Road, Gurgaon, a prime commercial hub.",1
0a7485bc-ab5e-4cf9-8b5f-f7d603949af9,a44c5240-3c6f-4c6a-96ee-8ac62af3511e,What amenities are included?,"The residency offers a clubhouse, swimming pool, gym, spa, landscaped gardens, children's play area, and 24x7 security with CCTV surveillance.",7
0b113198-98b2-47eb-8104-5ccb2198ebae,2a2c45d5-0f68-459c-a286-0509b7bb6073,What is the possession date of M3M Golf Hills?,Possession is targeted for December 2028,3
0b17f96f-6170-4e4f-bc10-07b6e62e7cb4,b78f7b94-2629-4566-b8a8-a14b578d3434,Who is the developer of AIPL Lake City?,"Advance India Projects Limited (AIPL), one of North India's leading developers.",5
0c5863e9-ebc7-4bf3-a9c6-6892d651aa32,d9401432-af8d-41fc-8230-594a70cc2a98,What are the location advantages of M3M Route 65?,"The project offers excellent connectivity to Gurugram SPR Road, Golf Course Extension Road, Sohna Road, NH-48, Gurugram Faridabad Road, and is close to metro stations and IGI Airport.",5
0db7f1a4-5154-4fb5-8524-6f48b4a58309,bd535d19-6a06-45cc-a692-3d56849d8e89,How can I book a unit?,"Units can be booked through Whiteland's sales team, authorized brokers in Gurgaon, or by visiting the official project website.",6
0ecbdf29-7ad1-4c0c-a713-19718de928ee,8b6a09f7-9696-4811-ad43-bad1dea5f324,Is there a brochure available for DLF Privana West?,"Yes, the official brochure, floor plans, and payment details can be downloaded from the project's official website or DLF Homes portal.",4
0ee8cbb0-fc09-4909-a088-5ab0ea55cc8d,d9401432-af8d-41fc-8230-594a70cc2a98,What is the possession date of M3M Route 65?,"The Project is Ready ",2
0fffadde-e51d-4cb7-b26b-bae47fb366cf,6abc2559-f9b4-4173-97fe-9b5e70f47bb1,Where is Hines Elevate located?,"Hines Elevate is located at Sector 59, Golf Course Extension Road, Gurgaon, Haryana.",1
10d64b4a-7478-4738-b76d-a6ef7bb43598,6a3994f8-8b87-441d-8d43-732f7162ac90,What is the starting price for homes at M3M Mansion?,"Prices start at ₹3.59 Crore for select 2 BHK, with various luxury options up to ₹14+ Crore for penthouses",3
10f9fa30-2a73-4ea9-ac8f-b54e537e7228,6abc2559-f9b4-4173-97fe-9b5e70f47bb1,When is possession expected?,"The project is under phased completion, with final possession expected by December 2025.",2
1277e61c-4b36-45db-b41a-d4fd89313a05,d6239c57-d7ed-4da1-84cc-3330b1ea324c,What are the location advantages of M3M CapitalWalk?,"The project enjoys connectivity to Dwarka Expressway, Delhi border, IGI Airport, metro stations, and leading residential hubs in Gurgaon.",1
1347ac9c-f060-422f-9934-d38e4517fb9f,165ef67e-ef7b-4dde-9a9b-817a92875500,What is the possession timeline?,Possession for Elan Paradise is expected by September 2026.,1
13b469cf-7d53-463e-936e-e70e10c31af6,a0526302-80d5-40e4-ba4f-0e030521e651,What is the payment plan?,50:25:25 payment plan is available.,3
13bc2ea0-8394-48f0-b98d-ea947dbb2615,d6239c57-d7ed-4da1-84cc-3330b1ea324c,When is possession for M3M CapitalWalk?,Estimated possession will be shared as per project timeline or upon official announcement.,3
143191cd-cbf4-4344-9851-8225dcbd12a7,8b6a09f7-9696-4811-ad43-bad1dea5f324,How can a unit be booked in DLF Privana West?,"Units can be booked by contacting DLF representatives or through authorized realtors, with flexible payment plans available.",3
149c9238-069a-423b-adc6-55f3aea0ec5e,6b1c33af-b1a9-49a4-a9ca-6fa3545214f2,What is the RERA ID for Experion The Trillion?,The RERA ID for Experion The Trillion is HARERA/GGM/911/643/2025/14.,1
15465aca-eaf4-4950-a0ec-10a7398abfc4,06e0aa61-ef5c-4892-beec-a5a1df6ec52c,What is the total land area and number of towers?,"The project covers 6.1 acres and has four high-rise towers, each up to 32–35 floors.",3
16b9ccf5-7966-40de-864f-d95d9142a072,0d428cdd-2dcd-46ea-85ec-98471e318483,How many towers and units?,There are 5 high-rise towers and approximately 492 apartments.,0
1ae991ac-fc06-47bb-8263-cc8a772d7f80,bd535d19-6a06-45cc-a692-3d56849d8e89,What amenities and highlights are offered?,"Amenities include a mega clubhouse, smart home features, branded hospitality, green open spaces, multiple sports facilities, observatory deck, and five-star wellness services.",3
1bb13f12-4649-4e0b-b072-630d1ec30cf0,6b799d00-5a0b-4a72-be56-4bd7c78352b0,What is the project completion date?,Expected completion is in 2029.,6
1bcbf24e-c0b1-4420-8cbf-4d96565f7834,21f65c22-0ac4-4e2e-92df-029afe926330,What is the land area and how many towers are there?,Emaar Urban Oasis covers 6.64 acres with five high-rise towers up to G+30 floors.,2
1c12c1b4-b9ba-4cdc-922e-9055c0fdb6c3,c05bb44a-4d96-4c65-9703-923dd67a4b91,Is the project RERA approved?,"Yes, 4S The Aurrum is RERA approved with registration number GGM/849/581/2024/76.",1
